,Match_num,Team_name,Date,Opponent,Score,Location,Record,Home Record,Spread,Over/Under,Money Line
85,4,Boston Celtics,Oct-24,Chicago,L 102-120,Away,03-Jan,1-0,-5.5,Un 226.0,1.454545455
86,5,Boston Celtics,Oct-28,Cleveland,L 123-132,Home,03-Feb,1-0,-7,Ov 218.5,1.357142857
87,6,Boston Celtics,Oct-30,Washington,W 112-94,Home,04-Feb,1-0,-9.5,Un 222.0,1.238095238
88,7,Boston Celtics,11-Feb,Cleveland,L 113-114,Away,04-Mar,1-0,-1.5,Ov 220.0,1.78125
89,8,Boston Celtics,11-Apr,Chicago,W 123-119,Home,05-Mar,1-0,-7.5,Ov 223.5,1.357142857
90,9,Boston Celtics,11-May,New York,W 133-118,Away,06-Mar,2-0,-4,Ov 227.0,1.588235294
91,10,Boston Celtics,11-Jul,Memphis,W 109-106,Away,07-Mar,2-0,-3.5,Un 232.0,1.595238095
92,11,Boston Celtics,11-Sep,Detroit,W 128-112,Home,08-Mar,2-0,-13,Ov 225.5,1.120336943
93,12,Boston Celtics,11-Nov,Denver,W 131-112,Home,09-Mar,2-0,-4,Ov 230.5,1.574712644
94,13,Boston Celtics,11-Dec,Detroit,W 117-108,Away,10-Mar,2-0,-8.5,Pu 225.0,1.303030303
95,14,Boston Celtics,Nov-14,Okla City,W 126-122,Home,11-Mar,2-0,-11.5,Ov 229.0,1.16025641
96,15,Boston Celtics,Nov-16,Atlanta,W 126-101,Away,12-Mar,2-0,-1,Un 234.5,1.961538462
97,16,Boston Celtics,Nov-18,New Orleans,W 117-109,Away,13-Mar,2-0,-2.5,Un 227.5,1.694444444
98,17,Boston Celtics,Nov-21,Chicago,L 107-121,Away,13-Apr,2-0,-5.5,Un 229.5,1.5
99,18,Boston Celtics,Nov-23,Dallas,W 125-112,Home,14-Apr,2-0,-5.5,Ov 220.5,1.476190476
100,19,Boston Celtics,Nov-25,Sacramento,W 122-104,Home,15-Apr,2-0,-7.5,Un 239.0,1.344827586
101,20,Boston Celtics,Nov-27,Washington,W 130-121,Home,16-Apr,2-0,-8,Ov 220.5,1.317460317
102,21,Boston Celtics,Nov-28,Charlotte,W 140-105,Home,17-Apr,2-0,-11,Ov 225.0,1.17452007
103,22,Boston Celtics,Nov-30,Miami,W 134-121,Home,18-Apr,2-0,-9.5,Ov 224.5,1.251889169
104,23,Boston Celtics,12-Feb,Miami,L 116-120,Home,18-May,2-0,-7,Ov 227.0,1.390625
105,24,Boston Celtics,12-Apr,Brooklyn,W 103-92,Away,19-May,3-0,-2.5,Un 230.5,1.793650794
106,25,Boston Celtics,12-May,Toronto,W 116-110,Away,20-May,4-0,1.5,Un 228.5,2.02
107,26,Boston Celtics,12-Jul,Phoenix,W 125-98,Away,21-May,4-0,2,Un 230.5,2.15
108,27,Boston Celtics,12-Oct,Golden State,L 107-123,Away,21-Jun,4-0,-2.5,Un 237.5,1.775193798
